brand,model
TVS,Apache RTR 200 4V
TVS,Apache RTR 310
TVS,Apache RTX
TVS,iQube
TVS,Jupiter
TVS,Jupiter 125
TVS,Ntorq 125
TVS,Ntorq 150
TVS,Radeon
TVS,Raider 125
TVS,Ronin
TVS,Sport
TVS,StaR City Plus
TVS,X
TVS,XL100
TVS,Zest 110
Vespa,Elegante 150
Vespa,SXL 125
Vespa,SXL 150
Vespa,VXL 125
Vespa,VXL 150
Vespa,ZX 125
Yamaha,Aerox 155
Yamaha,Aerox E
Yamaha,EC 06
Yamaha,Fascino 125
Yamaha,FZ FI
Yamaha,FZ RAVE
Yamaha,FZ X
Yamaha,FZS FI
Yamaha,MT 15
Yamaha,MT-03
Yamaha,R15 V4
Yamaha,R15S
Yamaha,R3
Yamaha,Ray ZR 125
Yamaha,XSR 155
Yezdi,Yezdi Adventure
Yezdi,Yezdi Roadster
Yezdi,Yezdi Scrambler
Zontes,350R
Zontes,350T
Zontes,350X
Zontes,GK350
