"name","price","originalPrice","discount","rating","reviewCount","image","images","category","sizes","colors","badge","compatibleBikes","description","specifications","inStock","stockQuantity","createdAt","updatedAt"
"Drake Universal Fabric Saddle Bag 32 litre Single (64 litre pair) for BMW 310 GS",3699,4364.82,18,5,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727611476_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727611476_700X700.webp","Luggage","","Black:#41b53f","new","Honda CB350|TVS Apache RTR 160|Bajaj Pulsar NS200","Drake Universal Fabric Saddle Bag 32 litre Single (64 litre pair) for BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Maximus Tail Bag (36 litre Single) for BMW 310 GS",3999,4438.89,11,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727608149_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727608149_700X700.webp","Luggage","","Black:#297486","discount","Royal Enfield Classic 350|Honda CB350|Royal Enfield Hunter 350","Maximus Tail Bag (36 litre Single) for BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Pluto Tail Bag / Tank Bag for BMW 310 GS",3299,3727.87,13,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1727944260_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1727944260_700X700.webp","Luggage","","Black:#055359","new","Honda CB350|Royal Enfield Hunter 350|Royal Enfield Classic 350","Pluto Tail Bag / Tank Bag for BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Broozer Tail Bag (50 litre) for BMW 310 GS",4999,5848.83,17,4.1,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727607005_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727607005_700X700.webp","Luggage","","Black:#bf717d","discount","Bajaj Pulsar NS200|KTM Duke 390|Yamaha R15","Broozer Tail Bag (50 litre) for BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Vader Hard Shell Tail Bag (65 litre) for BMW 310 GS",5999,6718.88,12,4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727606388_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727606388_700X700.webp","Luggage","","Black:#07da93","bestseller","Royal Enfield Classic 350|Bajaj Pulsar NS200|Royal Enfield Hunter 350","Vader Hard Shell Tail Bag (65 litre) for BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Saddle Stay V-2 with Exhaust Shield with Jerry Can Mount For BMW 310 GS",3799,4406.84,16,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727417182_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1727417182_700X700.webp","Accessories","","Black:#0afbca","new","Royal Enfield Classic 350|TVS Apache RTR 160|Royal Enfield Hunter 350","Saddle Stay V-2 with Exhaust Shield and Jerry Can Mount","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Top Box Plastic (58 Ltr) L-flat Black With Back Rest Cushion For BMW 310 GS",9500,9975,5,5,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721305777_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721305777_700X700.webp","Storage","","Black:#d68551","bestseller","KTM Duke 390|Royal Enfield Classic 350|TVS Apache RTR 160","Plastic Top Box with 58L capacity and back rest cushion","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Sticker Top Box Aluminium (45 Ltr) L-flat Black For BMW 310 GS",11000,11880,8,4.9,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721282603_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721282603_700X700.webp","Storage","","Black:#88a4a1","new","Bajaj Pulsar NS200|KTM Duke 390|TVS Apache RTR 160","Aluminium Top Box 45L - Black Finish","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Mobile Holder with Touch Charger",2899,2985.97,3,4.6,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721460055_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721460055_700X700.webp","Accessories","","Black:#4eb9cb","discount","TVS Apache RTR 160|Royal Enfield Classic 350|Royal Enfield Hunter 350","Universal Mobile Holder with Touch Charger","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Mobile Holder with USB Charger",2799,2994.93,7,4.1,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721459099_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_07_1721459099_700X700.webp","Accessories","","Black:#247d0d","new","Yamaha R15|Royal Enfield Hunter 350|TVS Apache RTR 160","Universal Mobile Holder with USB Charger","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Upper fairing guard for BMW 310 GS (Silver , Stainless Steel)",6999,"",0,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_04_1714376164_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_04_1714376164_700X700.webp","Accessories","","Black:#92fe35","bestseller","Bajaj Pulsar NS200|Honda CB350|KTM Duke 390","Upper fairing guard for BMW 310 GS (Silver , Stainless Steel)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM BLACK L-FALT ( 55ltr )  WITH BACK REST CUSHION FOR  BMW 310 GS",14500,14935,3,4.9,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_02_1706785396_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_02_1706785396_700X700.webp","Accessories","","Black:#9dec57","new","Bajaj Pulsar NS200|Honda CB350|KTM Duke 390","TOP BOX ALUMINIUM BLACK L-FALT ( 55ltr )  WITH BACK REST CUSHION FOR  BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM SILVER (22ltr) FOR BMW 310 GS",7999,8478.94,6,4.1,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_06_1719574277_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_06_1719574277_700X700.webp","Top Box","","Silver:#38cfef","new","KTM Duke 390|Yamaha R15|TVS Apache RTR 160","TOP BOX ALUMINIUM SILVER (22ltr) FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM BLACK (22ltr) L-FLAT FOR BMW 310 GS",7999,8478.94,6,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_06_1719572385_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_06_1719572385_700X700.webp","Top Box","","Black:#e2ca70","discount","TVS Apache RTR 160|Bajaj Pulsar NS200|Honda CB350","TOP BOX ALUMINIUM BLACK (22ltr) L-FLAT FOR BMW 310 GS","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM SILVER (35ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310 GS",9500,9975,5,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706704993_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706704993_700X700.webp","Top Box","","Silver:#5dee57","bestseller","Bajaj Pulsar NS200|Royal Enfield Classic 350|KTM Duke 390","TOP BOX ALUMINIUM SILVER (35ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX WITH BACK REST CUSHION FOR BMW 310 GS (35ltr ALUMINIUM BLACK L-FLAT)",9500,9975,5,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706704780_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706704780_700X700.webp","Top Box","","Black:#53c00b","new","Royal Enfield Classic 350|Royal Enfield Hunter 350|TVS Apache RTR 160","TOP BOX WITH BACK REST CUSHION FOR BMW 310 GS (35ltr ALUMINIUM BLACK L-FLAT)","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM SILVER (55ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310 GS",14500,14935,3,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706704582_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706704582_700X700.webp","Top Box","","Silver:#640f75","new","Bajaj Pulsar NS200|TVS Apache RTR 160|Yamaha R15","TOP BOX ALUMINIUM SILVER (55ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM SILVER (45ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310 GS",11500,11960,4,4.1,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706172918_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706172918_700X700.webp","Top Box","","Silver:#b36a72","bestseller","Honda CB350|TVS Apache RTR 160|Yamaha R15","TOP BOX ALUMINIUM SILVER (45ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310 GS","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM BLACK (45ltr) R-FLAT WITH BACK REST CUSHION FOR BMW 310 GS",11500,11960,4,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706171075_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706171075_700X700.webp","Top Box","","Black:#27d008","new","KTM Duke 390|Royal Enfield Classic 350|TVS Apache RTR 160","TOP BOX ALUMINIUM BLACK (45ltr) R-FLAT WITH BACK REST CUSHION FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX PLASTIC (45ltr) BLACK WITH BACK REST CUSHION FOR BMW 310 GS",7000,7490,7,4.9,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706164288_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706164288_700X700.webp","Top Box","","Black:#491120","new","Royal Enfield Hunter 350|KTM Duke 390|Royal Enfield Classic 350","TOP BOX PLASTIC (45ltr) BLACK WITH BACK REST CUSHION FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM SILVER (45ltr) R-FLAT WITH BACK REST CUSHION FOR BMW 310GS",11500,11960,4,4.9,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706088248_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706088248_700X700.webp","Top Box","","Silver:#cb639c","bestseller","Royal Enfield Hunter 350|KTM Duke 390|Royal Enfield Classic 350","TOP BOX ALUMINIUM SILVER (45ltr) R-FLAT WITH BACK REST CUSHION FOR BMW 310GS","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"TOP BOX ALUMINIUM BLACK (45ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310GS",11500,11960,4,4.6,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706087988_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1706087988_700X700.webp","Top Box","","Black:#360448","discount","Royal Enfield Classic 350|Royal Enfield Hunter 350|Bajaj Pulsar NS200","TOP BOX ALUMINIUM BLACK (45ltr) L-FLAT WITH BACK REST CUSHION FOR BMW 310GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"SIDE STAND EXTENDER ALUMINUM & SS FOR BMW G 310 GS",1399,1706.78,22,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1696334895_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1696334895_700X700.webp","Accessories","","Silver:#c14d9a","bestseller","Yamaha R15|Bajaj Pulsar NS200|Royal Enfield Hunter 350","SIDE STAND EXTENDER ALUMINUM & SS FOR BMW G 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"FOG LIGHT MOUNT MS FOR BMW 310 GS",1349,1483.9,10,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1697003895_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1697003895_700X700.webp","Fog Light Mount","","","new","Honda CB350|TVS Apache RTR 160|Yamaha R15","FOG LIGHT MOUNT MS FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"MIRROR EXTENDER ALUMINUM FOR BMW 310 GS",1099,1395.73,27,4.5,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1697004132_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1697004132_700X700.webp","Mirror Extender","","","discount","Yamaha R15|KTM Duke 390|Royal Enfield Hunter 350","MIRROR EXTENDER ALUMINUM FOR BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"SADDLE STAY SILVER WITH JERRY CAN MOUNT FOR BMW G310GS",3399,"",0,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1695964397_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_09_1695964397_700X700.webp","Saddle Stay","","Silver:#0cd464","bestseller","Yamaha R15|KTM Duke 390|TVS Apache RTR 160","SADDLE STAY SILVER WITH JERRY CAN MOUNT FOR BMW G310GS","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"GPS Mount Aluminum & SS For BMW 310 GS",1399,1706.78,22,5,0,"https://www.zanamotorcycles.com/uploads/tempDir/2124330224_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/2124330224_700X700.webp","GPS Mount","","","discount","Honda CB350|Yamaha R15|Royal Enfield Hunter 350","GPS Mount Aluminum & SS For BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"BMW G 310 GS NEW VERTICAL HANDLE RISER ALUMINUM SILVER",2499,2673.93,7,4,0,"https://www.zanamotorcycles.com/uploads/tempDir/2033671250_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/2033671250_700X700.webp","Handle Riser","","Silver:#9ccc1d","new","KTM Duke 390|Honda CB350|Bajaj Pulsar NS200","BMW G 310 GS NEW VERTICAL HANDLE RISER ALUMINUM SILVER","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"SADDLE STAY MS BLACK WITH JERRY CAN MOUNT BMW G 310GS",3400,3910,15,4.5,0,"https://www.zanamotorcycles.com/uploads/tempDir/2085788484_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/2085788484_700X700.webp","Mount","","Black:#a7626f","new","Yamaha R15|TVS Apache RTR 160|Honda CB350","SADDLE STAY MS BLACK WITH JERRY CAN MOUNT BMW G 310GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"BMW G 310 GS FRONT FORK SLIDER",1199,1438.8,20,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/681031967_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/681031967_700X700.webp","Slider","","Black:#456e19","bestseller","Royal Enfield Hunter 350|KTM Duke 390|Honda CB350","BMW G 310 GS FRONT FORK SLIDER","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"SIDE STAND EXTENDER FOR BMW G 310 GS (ALUMINUM)",899,988.9,10,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/477354131_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/477354131_700X700.webp","Stand","","Silver:#7ee263","bestseller","Royal Enfield Classic 350|Honda CB350|Royal Enfield Hunter 350","SIDE STAND EXTENDER FOR BMW G 310 GS (ALUMINUM)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"PADDOCK STAND MS BMW 310 GS (TEXTURE MATT BLACK)",3799,4178.9,10,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1736162345_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1736162345_700X700.webp","Stand","","Matt Black:#da21fb","new","Honda CB350|KTM Duke 390|Royal Enfield Hunter 350","PADDOCK STAND MS BMW 310 GS (TEXTURE MATT BLACK)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"PADDOCK STAND MS BMW 310 GS (GLOSSY RED COLOR)",3799,4178.9,10,4.4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_02_1707552513_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_02_1707552513_700X700.webp","Stand","","Glossy Red:#722ef6","discount","Royal Enfield Hunter 350|Royal Enfield Classic 350|KTM Duke 390","PADDOCK STAND MS BMW 310 GS (GLOSSY RED COLOR)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"BMW 310 GS FRONT FLUID RESERVOIR OIL COVER (ALUMINIUM)",349,495.58000000000004,42,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/213829151_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/213829151_700X700.webp","Cover","","Silver:#e3f6ea","bestseller","Royal Enfield Classic 350|KTM Duke 390|Honda CB350","BMW 310 GS FRONT FLUID RESERVOIR OIL COVER (ALUMINIUM)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"GPS MOUNT ALUMINUM & SS BMW G310S",1099,1329.79,21,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/1966013681_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/1966013681_700X700.webp","Mount","","Silver:#1e7255|Black:#70718d","new","Royal Enfield Hunter 350|TVS Apache RTR 160|Yamaha R15","GPS MOUNT ALUMINUM & SS BMW G310S","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"BMW G310 GS UPPER FAIRING GUARD MS (SILVER)",5500,6325,15,4.3,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1696338400_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1696338400_700X700.webp","Guard","","Silver:#5495a8","new","Yamaha R15|Royal Enfield Hunter 350|Royal Enfield Classic 350","BMW G310 GS UPPER FAIRING GUARD MS (SILVER)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"BMW G310 GS UPPER FAIRING GUARD MS (BLACK)",5500,6325,15,4.9,0,"https://www.zanamotorcycles.com/uploads/tempDir/857166847_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/857166847_700X700.webp","Guard","","Black:#37029d","bestseller","KTM Duke 390|Yamaha R15|TVS Apache RTR 160","BMW G310 GS UPPER FAIRING GUARD MS (BLACK)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"LOWER ENGINE GUARD FOR BMW G310 GS WITH PUCK BLACK",5500,6325,15,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/1930744128_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/1930744128_700X700.webp","Guard","","Black:#5e7a2f","discount","Royal Enfield Hunter 350|Honda CB350|KTM Duke 390","LOWER ENGINE GUARD FOR BMW G310 GS WITH PUCK BLACK","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Bmw G310 Gs Aluminium Heavy Duty Sump Guard Silver",5500,6325,15,4.4,0,"https://www.zanamotorcycles.com/uploads/tempDir/528022926_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/528022926_700X700.webp","Guard","","Silver:#298e69","new","TVS Apache RTR 160|Royal Enfield Classic 350|Royal Enfield Hunter 350","Bmw G310 Gs Aluminium Heavy Duty Sump Guard Silver","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Bmw G310gs Lower Engine Guard Ms With Puck Silver",5500,6325,15,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1697003534_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1697003534_700X700.webp","Guard","","Silver:#cb8127","discount","Yamaha R15|Bajaj Pulsar NS200|Honda CB350","Bmw G310gs Lower Engine Guard Ms With Puck Silver","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"NEW TOPRACK PLATE ALUMINUM NEW TEXTURE MATT SILVER G310GS",2599,2936.87,13,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/550139444_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/550139444_700X700.webp","Toprack Plate","","Matt Silver:#fe89d5","new","Royal Enfield Classic 350|Royal Enfield Hunter 350|TVS Apache RTR 160","NEW TOPRACK PLATE ALUMINUM NEW TEXTURE MATT SILVER G310GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"FLUID RESERVOIR COVER 310GS ( SS )",399,598.5,50,5,0,"https://www.zanamotorcycles.com/uploads/tempDir/303650345_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/303650345_700X700.webp","Cover","","Silver:#8a466d","bestseller","Honda CB350|Royal Enfield Classic 350|Royal Enfield Hunter 350","FLUID RESERVOIR COVER 310GS ( SS )","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"FRONT DISC CALIPER PROTECTOR G310 GS",699,908.7,30,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/1415778094_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/1415778094_700X700.webp","Protector","","Black:#98ae0c","new","Royal Enfield Hunter 350|KTM Duke 390|TVS Apache RTR 160","FRONT DISC CALIPER PROTECTOR G310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
